OPN1,OPN2,OPN3,OPN4,AGG1,AGG2,AGG3,AGG4,NEU1,NEU2,NEU3,NEU4,EXT1,EXT2,EXT3,EXT4,CSN1,CSN2,CSN3,CSN4,AGE,GENDER,DENSITY,AVARAGE_TEMP,INVIDUALISM_SCORE,GP_AVG,PERSONALITY
3,3,5,5,1,4,4,2,3,3,5,1,4,3,1,4,1,2,2,5,66,2,3,9.75,80,4,Openness
5,2,1,3,1,3,5,1,5,5,1,3,2,5,1,1,2,1,3,2,62,2,3,9.75,80,4,Neuroticism
4,4,1,3,5,5,2,4,3,2,2,2,3,2,3,5,4,2,4,2,39,2,3,9.75,80,4,Agreeableness
2,3,5,4,1,1,3,3,3,4,4,5,3,5,5,1,5,5,4,5,79,1,3,9.75,80,2,Neuroticism
3,1,2,1,3,1,2,3,4,5,2,2,4,1,3,1,5,3,5,4,65,1,3,9.75,80,3,Conscientiousness
1,4,2,4,3,3,3,2,5,4,2,4,4,1,4,5,3,1,3,3,37,1,3,9.75,80,2,Neuroticism
1,2,1,1,2,1,4,5,1,4,3,4,1,5,5,3,5,1,4,5,12,2,3,9.75,80,1,Neuroticism
3,3,3,2,2,3,2,5,5,5,3,4,5,3,2,4,4,1,2,3,73,1,3,9.75,80,5,Neuroticism
5,2,5,1,2,5,5,5,2,3,3,4,2,1,5,3,2,2,5,3,46,2,3,9.75,80,3,Agreeableness
4,5,3,3,1,3,4,5,4,3,4,1,1,1,3,1,3,1,3,1,50,1,3,9.75,80,4,Openness
1,2,5,1,5,1,1,2,3,3,2,3,1,4,4,3,2,2,3,3,29,1,3,9.75,80,2,Extroversion
3,3,3,3,4,3,4,5,2,5,1,3,2,4,5,3,4,3,3,1,31,2,3,9.75,80,4,Agreeableness
5,2,4,1,1,2,3,5,5,3,1,4,1,5,2,1,1,4,2,4,15,1,3,9.75,80,2,Neuroticism
1,2,1,4,4,5,3,3,2,5,1,4,5,1,4,3,1,3,3,2,28,2,3,9.75,80,3,Agreeableness
3,4,2,2,2,1,1,1,4,1,2,1,5,5,4,2,1,3,2,3,46,1,3,9.75,80,5,Extroversion
5,1,1,4,1,2,1,1,5,2,2,5,2,4,3,2,5,4,4,2,59,2,3,9.75,80,2,Neuroticism
2,1,4,2,1,2,2,3,3,5,4,2,5,5,4,1,2,5,3,3,57,2,3,9.75,80,4,Neuroticism
1,4,5,5,2,1,3,1,1,4,1,5,3,3,1,5,1,5,3,2,20,1,3,9.75,80,4,Extroversion
4,3,2,2,1,2,5,3,1,2,3,4,2,4,3,1,5,5,4,3,18,2,3,9.75,80,4,Conscientiousness
3,4,3,1,3,5,4,1,3,4,3,3,5,3,2,1,5,1,2,1,79,1,3,9.75,80,2,Neuroticism
3,1,2,4,2,3,5,4,4,3,3,5,2,5,5,3,4,5,3,2,67,1,3,9.75,80,4,Conscientiousness
2,1,4,4,3,4,3,1,3,5,3,2,5,2,5,3,4,2,1,4,80,2,3,9.75,80,1,Neuroticism
1,1,3,1,4,1,2,1,3,2,2,4,3,1,5,5,1,2,5,1,65,1,3,9.75,80,3,Neuroticism
2,3,4,4,4,5,1,2,2,4,5,1,3,3,1,4,4,2,4,5,72,1,3,9.75,80,5,Conscientiousness
2,1,4,4,2,2,1,5,3,2,1,3,1,4,5,5,3,1,4,5,67,2,3,9.75,80,2,Conscientiousness
4,5,5,1,3,5,2,4,3,3,4,5,4,1,1,4,1,1,2,5,49,1,3,9.75,80,4,Openness
1,3,4,4,3,4,1,3,1,5,4,2,2,1,5,5,4,1,4,2,31,2,3,9.75,80,5,Neuroticism
2,5,4,4,4,4,1,2,5,3,3,2,4,4,4,4,4,1,3,5,59,1,3,9.75,80,5,Extroversion
1,1,5,2,2,2,3,5,3,1,3,2,5,5,5,5,5,2,2,4,33,1,3,9.75,80,3,Extroversion
4,2,1,5,1,3,3,1,1,5,2,4,2,3,4,2,4,1,1,3,36,1,3,9.75,80,1,Neuroticism
1,3,4,1,5,3,1,5,2,1,4,1,4,4,4,4,5,2,3,2,66,1,3,9.75,80,1,Agreeableness
4,5,1,1,4,2,3,4,3,3,1,3,1,5,3,4,3,3,5,3,18,2,3,9.75,80,3,Agreeableness
4,5,2,1,5,3,5,3,1,4,3,1,3,2,2,5,5,5,1,2,52,2,3,9.75,80,4,Agreeableness
1,1,5,3,5,1,2,4,5,2,3,5,1,2,2,5,1,1,2,3,39,2,3,9.75,80,5,Neuroticism
5,2,3,5,4,1,5,4,5,4,4,5,5,1,4,4,2,2,1,4,75,2,3,9.75,80,1,Neuroticism
2,3,2,2,5,5,5,3,3,1,2,5,4,2,3,5,2,4,4,4,59,2,3,9.75,80,5,Agreeableness
1,1,1,4,4,5,2,1,5,1,4,5,4,5,4,1,3,2,4,5,45,1,3,9.75,80,2,Neuroticism
4,4,3,5,4,4,4,5,5,1,1,1,2,1,4,1,1,4,1,2,75,1,3,9.75,80,2,Openness
3,2,5,2,4,4,4,2,4,1,5,4,1,4,3,2,2,4,1,4,46,1,3,9.75,80,2,Neuroticism
3,3,5,3,2,3,2,5,2,3,4,1,1,3,2,3,4,2,5,3,42,2,3,9.75,80,1,Openness
2,3,3,5,3,1,3,2,4,5,5,2,5,3,3,2,5,3,3,3,57,2,3,9.75,80,1,Neuroticism
1,2,2,3,4,2,4,3,5,3,5,3,2,2,2,5,1,4,2,1,25,2,3,9.75,80,1,Neuroticism
5,3,5,3,5,5,3,3,2,4,1,2,3,2,2,3,4,4,4,1,44,2,3,9.75,80,2,Openness
5,4,2,3,3,5,5,4,1,5,3,4,3,2,4,3,5,2,5,3,43,1,3,9.75,80,1,Agreeableness
1,3,3,2,1,2,1,5,4,4,1,1,1,4,4,4,2,5,2,5,31,1,3,9.75,80,5,Conscientiousness
1,3,3,5,1,3,3,1,3,4,3,1,5,5,1,2,1,1,2,5,52,2,3,9.75,80,5,Neuroticism
1,4,2,4,3,1,4,2,3,5,2,1,4,5,5,2,4,4,3,2,42,1,3,9.75,80,4,Extroversion
4,3,2,1,3,3,5,4,1,1,2,5,1,3,5,5,2,2,5,4,18,2,3,9.75,80,2,Agreeableness
1,2,1,2,2,5,2,2,1,1,3,4,3,4,2,2,5,4,3,4,61,1,3,9.75,80,3,Conscientiousness
2,3,1,1,1,3,3,4,1,5,5,4,1,5,1,3,2,5,5,3,73,1,3,9.75,80,2,Neuroticism
1,1,1,2,3,2,5,3,1,1,5,1,3,2,2,3,2,2,1,3,68,2,3,9.75,80,4,Agreeableness
3,4,2,3,1,3,5,3,4,2,3,5,4,1,1,1,1,4,1,2,27,2,3,9.75,80,2,Neuroticism
1,2,5,4,3,1,2,2,4,1,4,1,3,2,4,4,1,5,1,1,46,2,3,9.75,80,5,Extroversion
2,2,3,4,3,5,4,3,3,2,3,4,3,3,2,2,4,2,5,1,80,2,3,9.75,80,3,Agreeableness
5,4,1,2,3,1,4,5,4,5,4,3,3,3,3,5,1,2,3,5,40,1,3,9.75,80,1,Neuroticism
3,2,2,1,4,4,2,3,4,1,4,2,2,4,1,4,2,2,2,1,74,1,3,9.75,80,1,Agreeableness
4,3,1,1,3,5,5,2,1,2,3,2,5,3,1,1,4,5,2,1,25,2,3,9.75,80,3,Agreeableness
1,3,4,2,3,5,3,1,2,4,2,1,1,2,2,2,1,5,2,1,33,2,3,9.75,80,2,Agreeableness
5,3,1,5,3,2,3,5,2,3,1,4,1,4,4,4,4,5,5,5,37,1,3,9.75,80,3,Conscientiousness
2,3,3,2,4,3,1,5,3,3,1,1,4,2,2,5,2,4,1,5,26,1,3,9.75,80,3,Extroversion
3,1,5,4,2,5,2,1,2,2,4,2,3,4,5,4,4,4,2,5,30,1,3,9.75,80,4,Extroversion
1,2,4,5,4,5,3,5,2,4,1,5,5,3,1,5,2,5,3,1,74,2,3,9.75,80,4,Agreeableness
3,5,3,5,5,5,5,4,1,2,5,3,4,5,1,4,1,4,1,1,67,2,3,9.75,80,5,Agreeableness
2,2,4,1,1,2,2,2,5,5,5,1,3,3,1,4,4,2,3,3,43,1,3,9.75,80,3,Neuroticism
5,4,4,4,5,5,5,1,2,1,2,4,2,2,3,4,2,1,4,4,25,1,3,9.75,80,5,Openness
1,1,4,5,1,3,2,4,2,3,5,5,4,5,4,5,1,3,5,4,49,2,3,9.75,80,5,Neuroticism
4,5,2,3,5,3,5,1,1,4,3,1,2,3,5,1,3,5,5,2,40,1,3,9.75,80,3,Openness
5,3,4,2,1,4,1,3,1,4,1,3,2,4,1,5,5,4,3,2,62,1,3,9.75,80,2,Conscientiousness
1,4,5,3,5,3,2,4,4,4,4,4,2,4,5,1,2,4,5,1,27,2,3,9.75,80,2,Neuroticism
4,1,2,3,3,2,3,2,1,4,3,2,1,5,3,1,2,5,4,5,32,1,3,9.75,80,5,Conscientiousness
1,4,2,1,3,4,5,3,2,2,1,1,3,4,5,3,2,1,5,2,50,2,3,9.75,80,5,Agreeableness
5,2,3,1,5,2,3,1,1,1,1,3,1,3,4,1,4,2,5,3,45,2,3,9.75,80,5,Conscientiousness
1,3,5,4,4,1,4,5,5,1,4,3,5,2,2,2,2,4,5,3,54,1,3,9.75,80,1,Neuroticism
5,1,3,5,4,5,1,3,4,2,2,5,5,2,5,5,3,4,5,5,67,1,3,9.75,80,3,Conscientiousness
1,2,2,2,3,5,5,4,4,5,3,1,1,5,5,5,3,2,3,2,79,1,3,9.75,80,5,Agreeableness
3,5,5,1,2,2,5,2,3,5,2,5,2,3,4,2,1,2,4,1,38,2,3,9.75,80,3,Neuroticism
2,3,1,5,5,1,5,1,2,5,1,5,3,1,4,4,3,4,5,3,70,1,3,9.75,80,1,Neuroticism
4,1,4,4,4,5,2,1,5,2,3,2,1,1,1,3,5,4,5,3,31,1,3,9.75,80,3,Conscientiousness
4,1,1,2,3,2,5,1,2,3,5,3,3,5,3,3,2,5,3,5,63,1,3,9.75,80,1,Conscientiousness
4,1,5,2,3,3,2,4,2,5,1,3,5,4,1,2,5,3,3,5,45,2,3,9.75,80,1,Conscientiousness
2,3,5,3,3,1,3,3,4,1,4,3,5,4,4,4,4,3,1,4,12,2,3,9.75,80,2,Extroversion
1,4,2,2,3,5,4,1,3,2,4,4,1,3,5,4,4,5,4,4,48,2,3,9.75,80,3,Conscientiousness
1,1,3,2,3,2,4,2,2,1,2,3,4,3,5,2,1,1,3,5,58,1,3,9.75,80,1,Agreeableness
1,4,1,3,5,3,1,4,1,4,3,1,4,1,2,5,2,4,3,5,79,2,3,9.75,80,1,Agreeableness
2,3,1,2,2,1,1,5,5,3,5,1,1,2,2,1,5,3,3,5,66,2,3,9.75,80,5,Conscientiousness
4,3,3,5,5,3,5,1,4,1,4,5,2,2,4,5,4,5,1,1,29,2,3,9.75,80,5,Neuroticism
4,3,3,5,3,5,4,1,4,4,2,5,5,4,2,3,5,1,3,4,23,2,3,9.75,80,2,Neuroticism
2,1,2,1,3,5,1,3,2,3,1,5,2,3,4,3,4,1,2,2,77,2,3,9.75,80,3,Agreeableness
3,4,3,2,3,5,3,2,3,2,4,3,3,4,3,1,4,3,1,4,16,2,3,9.75,80,1,Neuroticism
1,5,1,4,2,2,3,3,3,5,2,3,5,4,4,3,5,5,3,5,12,1,3,9.75,80,4,Conscientiousness
4,2,2,1,4,3,5,1,4,2,4,4,3,1,4,2,4,1,3,1,40,1,3,9.75,80,4,Neuroticism
1,5,5,3,5,1,5,1,2,5,3,3,3,5,5,2,5,1,2,3,73,1,3,9.75,80,5,Extroversion
4,3,2,3,1,2,3,1,1,1,5,2,1,5,4,1,5,1,2,1,74,1,3,9.75,80,4,Extroversion
5,5,1,4,4,3,4,4,5,2,1,4,5,4,2,5,2,5,2,2,67,1,3,9.75,80,1,Agreeableness
2,4,5,3,3,1,1,4,1,2,2,5,1,3,1,2,5,4,2,1,17,2,3,9.75,80,1,Openness
4,5,2,3,4,1,5,1,3,4,2,1,2,2,5,5,3,1,1,4,35,1,3,9.75,80,3,Extroversion
4,2,5,3,1,3,1,3,1,3,1,1,2,4,1,3,3,1,1,1,66,1,3,9.75,80,2,Openness
3,3,1,3,1,3,1,1,3,1,3,3,1,4,3,3,3,4,1,4,18,1,3,9.75,80,3,Extroversion
1,5,1,1,4,4,2,4,5,4,5,5,5,2,1,4,4,4,1,1,80,2,3,9.75,80,4,Neuroticism
3,4,2,3,2,2,1,3,1,1,2,5,4,2,4,4,1,1,2,5,69,1,3,9.75,80,4,Extroversion
1,5,4,3,2,2,2,3,2,1,1,1,1,2,5,3,5,2,4,3,28,1,3,9.75,80,1,Openness
2,2,1,2,3,5,3,4,2,5,3,5,1,4,3,2,2,4,1,5,17,2,3,9.75,80,1,Neuroticism
4,5,3,2,3,4,1,4,5,1,2,2,3,4,1,4,2,1,4,1,46,1,3,9.75,80,2,Openness
1,3,2,2,4,5,1,4,3,4,3,1,4,5,4,5,5,4,5,4,78,2,3,9.75,80,4,Conscientiousness
2,2,4,1,2,4,4,2,3,2,2,4,5,4,2,5,5,2,1,3,78,2,3,9.75,80,3,Agreeableness
3,2,5,5,2,4,4,5,3,2,1,5,2,4,2,4,1,5,4,2,31,2,3,9.75,80,1,Agreeableness
3,3,2,1,2,2,2,5,2,3,1,4,1,3,4,5,2,5,5,2,59,1,3,9.75,80,1,Conscientiousness
2,1,3,2,3,3,5,5,1,5,4,3,2,2,1,3,2,1,3,3,66,1,3,9.75,80,1,Agreeableness
5,1,4,4,5,2,5,2,4,2,2,1,1,2,4,2,2,1,3,2,41,1,3,9.75,80,3,Openness
3,5,5,2,3,4,3,2,3,2,5,2,3,2,4,3,3,1,3,1,47,2,3,9.75,80,5,Openness
3,5,3,5,5,1,1,3,5,5,5,5,4,3,2,2,4,5,2,2,26,2,3,9.75,80,5,Neuroticism
1,5,5,5,3,1,3,2,3,5,3,5,5,2,2,5,1,4,5,1,37,2,3,9.75,80,3,Neuroticism
1,5,3,1,2,3,3,4,4,2,1,4,5,3,1,3,3,1,3,5,16,1,3,9.75,80,3,Extroversion
1,4,1,1,5,2,1,4,1,3,4,1,5,4,3,1,3,4,4,3,53,2,3,9.75,80,4,Conscientiousness
2,5,3,2,3,4,1,4,4,2,3,3,3,3,1,4,4,5,3,1,17,2,3,9.75,80,4,Conscientiousness
5,5,5,4,2,3,1,5,3,4,1,5,5,1,4,5,5,1,1,3,80,1,3,9.75,80,5,Openness
1,5,2,3,3,3,4,1,5,3,4,4,3,4,1,5,2,3,4,3,59,2,3,9.75,80,2,Neuroticism
5,1,5,4,1,5,1,1,3,4,2,3,3,2,3,5,5,2,3,5,49,1,3,9.75,80,3,Conscientiousness
4,2,3,2,5,1,3,1,1,5,3,4,1,5,4,2,4,2,5,2,65,2,3,9.75,80,2,Neuroticism
4,2,3,4,5,2,1,3,3,5,5,1,1,1,4,3,3,2,1,1,34,2,3,9.75,80,2,Neuroticism
1,1,2,2,5,4,2,1,3,3,2,4,4,3,5,2,2,1,5,2,31,1,3,9.75,80,2,Agreeableness
2,4,5,5,1,5,1,1,2,2,1,1,5,3,1,2,1,4,5,3,75,2,3,9.75,80,1,Openness
4,1,2,1,3,4,5,2,5,2,5,1,4,3,2,5,4,5,4,2,54,2,3,9.75,80,4,Conscientiousness
3,1,4,4,3,4,4,1,3,3,1,5,1,2,1,2,2,1,3,1,45,1,3,9.75,80,5,Openness
1,2,3,3,2,5,4,1,1,4,1,4,2,5,2,4,2,1,4,5,59,2,3,9.75,80,2,Agreeableness
2,4,3,2,3,2,4,4,1,3,3,3,2,1,2,1,2,1,1,1,71,2,3,9.75,80,4,Agreeableness
1,4,5,3,2,4,2,2,2,3,3,3,3,5,5,4,1,4,2,4,23,2,3,9.75,80,1,Extroversion
1,5,5,4,3,1,2,2,3,5,1,4,2,2,4,1,2,5,3,3,76,2,3,9.75,80,5,Neuroticism
1,5,5,3,3,3,2,2,3,3,5,2,4,1,1,1,4,3,2,5,12,2,3,9.75,80,1,Neuroticism
1,1,5,1,3,2,5,4,3,2,4,5,3,2,1,2,5,1,1,4,42,2,3,9.75,80,5,Neuroticism
1,4,4,4,5,5,4,5,1,1,2,1,3,1,4,3,4,1,3,1,20,1,3,9.75,80,3,Agreeableness
5,3,2,1,1,3,1,4,2,2,1,2,4,1,2,4,3,1,5,5,41,2,3,9.75,80,1,Conscientiousness
2,5,2,2,5,1,1,3,4,3,3,2,2,1,5,2,2,5,2,3,67,1,3,9.75,80,2,Neuroticism
2,4,4,3,5,3,2,1,3,4,4,5,2,5,2,2,4,5,2,1,52,1,3,9.75,80,2,Neuroticism
1,4,2,3,1,5,5,5,4,3,2,3,1,4,1,3,2,2,1,4,31,2,3,9.75,80,5,Agreeableness
4,4,5,2,2,5,5,3,1,5,2,4,5,4,3,4,4,2,3,2,49,2,3,9.75,80,5,Agreeableness
2,5,3,3,3,2,3,4,1,2,1,4,2,1,1,3,5,3,4,5,71,1,3,9.75,80,5,Conscientiousness
1,1,3,4,5,1,2,3,1,2,4,4,4,1,3,1,1,1,4,1,29,2,3,9.75,80,1,Neuroticism
5,5,3,5,4,2,5,5,3,2,5,1,4,2,5,4,5,1,1,5,28,2,3,9.75,80,4,Openness
4,2,2,3,1,4,2,2,2,4,4,1,2,4,4,2,3,1,5,3,56,1,3,9.75,80,5,Conscientiousness
4,2,3,2,3,5,1,5,2,4,3,2,4,4,1,1,5,1,1,4,62,2,3,9.75,80,5,Agreeableness
5,3,2,3,2,5,1,5,3,1,5,4,4,2,4,3,5,4,3,2,26,2,3,9.75,80,5,Conscientiousness
1,5,5,5,3,2,5,5,2,1,3,4,1,2,4,5,3,5,3,5,47,1,3,9.75,80,4,Conscientiousness
1,1,3,3,2,4,5,4,5,1,3,3,5,2,5,1,4,2,3,2,43,1,3,9.75,80,2,Agreeableness
1,4,4,1,4,3,4,2,3,1,4,1,1,5,2,3,1,2,5,2,68,1,3,9.75,80,1,Agreeableness
1,2,5,4,4,1,4,4,4,4,4,1,2,1,5,5,1,2,2,1,53,2,3,9.75,80,1,Agreeableness
3,2,5,5,5,2,4,2,1,2,1,3,2,5,5,1,2,5,2,3,58,1,3,9.75,80,4,Openness
4,1,1,5,3,4,5,5,3,5,1,3,1,5,5,2,1,3,3,4,17,2,3,9.75,80,1,Agreeableness
1,2,5,3,4,4,1,4,2,3,2,2,3,5,3,4,3,4,1,5,42,2,3,9.75,80,2,Agreeableness
5,3,5,2,1,1,3,1,4,5,4,1,4,5,3,1,1,3,4,2,49,1,3,9.75,80,3,Neuroticism
4,4,1,3,5,2,1,1,2,1,1,2,4,4,3,1,2,4,4,2,59,2,3,9.75,80,1,Agreeableness
1,5,5,1,2,5,1,4,2,2,4,3,2,3,1,3,2,4,5,3,26,1,3,9.75,80,5,Conscientiousness
3,2,1,5,4,5,2,1,4,3,3,1,1,2,2,3,5,1,3,4,71,2,3,9.75,80,1,Neuroticism
4,1,3,4,3,2,4,1,3,5,1,3,4,1,3,3,2,5,4,5,38,2,3,9.75,80,2,Conscientiousness
2,4,3,1,2,5,2,5,5,4,1,1,4,1,1,2,1,4,4,3,16,1,3,9.75,80,4,Conscientiousness
1,4,3,3,4,4,2,4,2,4,5,5,3,4,5,4,4,4,2,4,70,1,3,9.75,80,4,Neuroticism
3,1,2,2,1,2,2,5,5,5,5,3,5,2,3,1,1,5,2,3,47,1,3,9.75,80,5,Neuroticism
2,2,3,1,1,4,3,4,2,4,3,5,3,1,1,5,2,1,3,3,71,1,3,9.75,80,4,Neuroticism
4,1,1,3,3,3,2,5,2,5,2,4,4,4,1,5,2,4,5,4,41,2,3,9.75,80,4,Conscientiousness
4,1,1,5,4,3,3,5,2,4,1,2,1,5,5,3,4,3,3,2,15,2,3,9.75,80,2,Agreeableness
2,5,1,3,3,3,3,2,3,4,4,5,4,3,5,3,5,4,1,3,13,1,3,9.75,80,2,Neuroticism
2,4,2,3,1,4,2,2,2,3,3,2,1,5,2,4,2,2,4,2,21,2,3,9.75,80,3,Extroversion
3,1,4,5,5,4,4,4,2,4,4,1,1,5,5,1,5,5,5,5,30,2,3,9.75,80,1,Conscientiousness
1,1,1,4,3,1,3,3,2,5,5,4,5,5,3,2,5,5,5,3,40,1,3,9.75,80,2,Conscientiousness
5,5,4,2,4,2,1,2,4,2,3,3,5,5,2,1,2,2,4,4,59,2,3,9.75,80,4,Conscientiousness
5,2,1,4,1,2,1,5,3,2,3,3,5,4,5,1,5,1,4,3,52,2,3,9.75,80,5,Conscientiousness
2,5,5,5,3,2,1,5,5,4,1,2,4,4,1,1,2,3,1,2,38,1,3,9.75,80,3,Openness
3,2,2,4,3,5,5,1,1,4,2,1,2,1,1,4,2,3,2,3,60,2,3,9.75,80,1,Agreeableness
1,4,5,4,5,5,2,4,4,4,5,2,1,5,2,2,5,4,2,2,52,1,3,9.75,80,3,Neuroticism
1,4,1,1,5,4,1,3,5,4,4,2,4,3,2,4,4,3,5,5,58,1,3,9.75,80,1,Conscientiousness
1,2,5,3,3,1,4,5,5,2,5,5,4,5,3,4,2,5,1,2,12,1,3,9.75,80,1,Extroversion
3,2,3,2,2,3,1,4,5,5,4,1,1,4,4,1,4,1,2,3,40,1,3,9.75,80,5,Neuroticism
1,4,3,2,5,5,5,3,4,1,5,4,4,1,4,1,3,1,1,1,37,1,3,9.75,80,5,Agreeableness
5,2,2,1,3,4,1,5,2,4,2,3,4,4,4,1,1,4,3,1,39,2,3,9.75,80,4,Agreeableness
2,5,4,5,1,1,2,1,2,1,3,1,3,1,3,5,4,3,4,1,18,1,3,9.75,80,5,Extroversion
4,4,1,2,1,3,4,4,5,1,2,4,3,1,5,5,5,4,5,1,39,1,3,9.75,80,2,Conscientiousness
4,1,1,4,3,3,4,1,4,4,1,2,4,3,5,5,5,1,2,4,43,2,3,9.75,80,4,Extroversion
4,4,1,4,1,3,5,3,5,3,5,3,2,4,5,5,4,2,3,5,28,1,3,9.75,80,4,Conscientiousness
2,5,1,1,4,3,2,2,2,4,4,1,2,5,1,4,4,3,1,5,66,1,3,9.75,80,4,Conscientiousness
4,1,4,4,3,2,2,2,1,1,3,5,5,3,3,1,1,4,3,2,12,2,3,9.75,80,5,Extroversion
1,3,3,5,3,3,2,3,4,4,2,3,2,3,4,3,1,1,1,2,36,2,3,9.75,80,5,Neuroticism
1,4,5,5,2,2,1,4,2,5,1,3,3,4,1,2,1,2,1,5,40,1,3,9.75,80,1,Openness
2,1,5,3,4,2,4,2,5,4,4,3,5,4,5,2,1,5,3,2,78,1,3,9.75,80,5,Neuroticism
5,2,4,3,5,1,5,2,3,2,1,1,3,3,5,5,4,4,2,5,58,1,3,9.75,80,3,Extroversion
5,5,1,2,1,4,5,5,5,1,2,3,5,4,2,2,1,5,4,2,45,2,3,9.75,80,1,Agreeableness
2,2,1,5,3,4,4,1,2,2,4,4,4,5,3,5,4,5,3,2,64,1,3,9.75,80,1,Extroversion
3,4,2,4,4,2,1,4,4,3,3,5,2,2,5,5,1,5,5,4,56,1,3,9.75,80,3,Conscientiousness
4,2,1,3,4,3,2,3,2,1,3,5,1,4,4,2,3,1,3,3,56,2,3,9.75,80,4,Agreeableness
1,2,2,3,4,5,1,5,4,4,1,2,2,2,5,5,1,3,4,2,75,2,3,9.75,80,2,Agreeableness
3,3,5,5,4,4,2,4,4,4,4,5,2,3,4,5,5,1,3,5,64,1,3,9.75,80,4,Neuroticism
2,2,2,4,4,3,5,1,2,4,2,3,2,2,5,4,4,4,2,3,26,1,3,9.75,80,4,Conscientiousness
1,2,2,1,5,2,1,1,2,1,3,1,4,5,4,1,5,1,4,2,34,2,3,9.75,80,1,Agreeableness
2,3,4,5,1,5,5,2,3,5,1,2,3,4,1,5,1,4,5,1,55,1,3,9.75,80,2,Openness
3,1,3,2,2,1,2,2,1,1,1,3,4,2,1,3,3,5,5,5,63,1,3,9.75,80,2,Conscientiousness
4,5,2,5,1,5,2,5,3,4,5,5,2,1,3,4,5,3,2,3,21,1,3,9.75,80,4,Neuroticism
1,1,4,4,4,2,1,2,4,5,4,5,1,5,4,2,4,3,1,2,21,1,3,9.75,80,1,Neuroticism
1,3,4,5,2,4,1,3,2,2,1,5,4,2,1,1,2,3,3,4,74,2,3,9.75,80,4,Neuroticism
3,1,5,1,1,3,4,2,3,1,2,2,4,1,4,3,3,4,1,4,75,1,3,9.75,80,1,Extroversion
5,5,2,4,3,5,1,2,1,3,5,1,4,5,1,2,2,5,2,5,12,1,3,9.75,80,3,Openness
5,2,1,4,5,4,4,5,5,4,4,5,2,3,3,5,4,2,3,5,72,1,3,9.75,80,2,Neuroticism
4,5,5,2,2,3,3,4,2,4,4,4,1,4,1,5,1,1,5,4,44,2,3,9.75,80,1,Neuroticism
2,4,4,3,3,5,2,5,3,5,3,5,4,4,1,5,3,5,1,2,29,1,3,9.75,80,3,Neuroticism
1,3,5,4,3,2,3,2,5,1,4,4,3,2,3,1,5,5,4,2,55,2,3,9.75,80,4,Conscientiousness
4,1,4,4,2,3,2,1,4,3,5,5,3,5,3,3,3,2,5,4,76,1,3,9.75,80,4,Neuroticism
2,4,3,1,1,2,3,4,5,5,2,2,5,5,4,1,1,4,1,3,54,1,3,9.75,80,5,Neuroticism
5,2,4,4,5,1,5,4,4,5,1,3,5,3,2,1,5,5,2,2,80,1,3,9.75,80,3,Neuroticism
2,3,5,3,4,4,4,1,4,5,2,5,2,4,3,4,1,1,1,1,17,1,3,9.75,80,2,Extroversion
1,3,3,4,3,2,5,1,2,5,4,2,1,4,1,1,1,4,5,4,59,1,3,9.75,80,5,Conscientiousness
4,5,5,3,2,4,1,2,2,5,2,2,1,2,4,5,1,5,2,3,63,1,3,9.75,80,5,Openness
4,2,1,4,4,2,2,1,2,5,2,1,4,3,3,3,1,2,5,5,57,2,3,9.75,80,3,Conscientiousness
5,4,4,3,2,5,1,4,2,4,3,4,1,1,3,1,2,2,2,4,43,2,3,9.75,80,1,Openness
